ID;Art. Nr.;Serie;Artikel;Unsere Preis;Original Preis;Kurzbeschreibung;Beschreibung;Jahrgang;Herkunft;Region;Traubensorte;Farbe;Trinktemperatur;Past gut zu;Alkohol;Raritäten;Inhalt;Charakter
;S4066;73;PRIORAT D.O. SOLMARE?O;5,5;7,5;PRIORAT D.O. SOLMARE?O;;2006;Spanien;Rioja;Tempranillo;Rotwein;;Braten, Grillfleisch, Kalbfleisch, kräftigem Käse, Rotes Fleisch;14,5%;;0.75 cl;
;S4067;73;TEMPRANILLO D.O. DON DANIEL RESERVA;5,5;11,9;TEMPRANILLO D.O. DON DANIEL RESERVA;;2006;Spanien;Valdepen?s;Tempranillo;Rotwein;;Barbeque, Braten, Steak;12,5%;;0.75 cl;
;S4068;73;RIOJA D.O.Ca. LACRIMUS;7,5;12,5;RIOJA D.O.Ca. LACRIMUS;;2011;Spanien;Rioja;Tempranillo;Rotwein;;Barbeque;13,5%;;0.75 cl;
;S4069;73;RIOJA D.O.Ca. TEMPRANILLO RESERVA VINESTRAL;10,5;14,9;RIOJA D.O.Ca. TEMPRANILLO RESERVA VINESTRAL;;2005;Spanien;Rioja;Tempranillo;Rotwein;;Barbeque, Braten;12%;ja;0.75 cl;
;S4070;73;RIOJA D.O.Ca. TEMPRANILLO RESERVA FINCA ROJA;10,5;;RIOJA D.O.Ca. TEMPRANILLO RESERVA FINCA ROJA;;2005;Spanien;Rioja;Tempranillo;Rotwein;;Barbeque, Braten;12%;ja;0.75 cl;
;S4071;73;RIOJA D.O.Ca. TEMPRANILLO FINCA ROJA;7,5;12,5;RIOJA D.O.Ca. TEMPRANILLO FINCA ROJA;;2005;Spanien;Rioja;Tempranillo;Rotwein;;Antipasti, Barbeque, Braten;12%;;0.75 cl;
;S4072;73;TEMPRANILLO JUMILLA D.O. VINA PINILLA;5,5;;TEMPRANILLO JUMILLA D.O. VINA PINILLA;;2009;Spanien;Jumilla;Tempranillo;Rotwein;;Antipasti, Geflügel, Kalbfleisch, kräftigem Käse, Pasta, Pizza;12,5%;;0.75 cl;
;S4073;73;TEMPRANILLO RIOJA D.O.Ca. CRIANZA MARQUÉS DE C?CERES;12,5;15,8;TEMPRANILLO RIOJA D.O.Ca. CRIANZA MARQUÉS DE C?CERES;;2007;Spanien;Rioja;Tempranillo;Rotwein;;Antipasti, Braten, Lammfleisch, Rindfleisch;14%;ja;0.75 cl;
;S4074;73;JASPI MARAGDA D.O. MONTSANT;15,5;19,8;JASPI MARAGDA D.O. MONTSANT;;2009;Spanien;Catalunya;Cabernet Sauvignon, Carignan, Garnacha, Shiraz / Syrah;Rotwein;;Grillfleisch, Kalbfleisch, Käseplatte, Rindfleisch, Rotes Fleisch, Steak;14,5%;ja;0.75 cl;
;S4075;75;VERDEJO Y SAUVIGNON BLANC AURUM D.O. YUNTERO;5,5;7,5;VERDEJO Y SAUVIGNON BLANC AURUM D.O. YUNTERO;;2010;Spanien;La Mancha;Sauvignon Blanc, Verdejo;Weisswein;;Fischgerichte;12,5%;;0.75 cl;
;S4076;73;MONTSANT HEREDAD CENTUM D.O.;10,5;15,5;MONTSANT HEREDAD CENTUM D.O.;;2004;Spanien;Catalunya;;Rotwein;;;;ja;0.75 cl;
;S4077;74;GARNACHA ROSADO NAVARRA D.O. CASTILUZAR;5,5;;GARNACHA ROSADO NAVARRA D.O. CASTILUZAR;;2010;Spanien;Navarra;Garnacha;Rosé;;;;;0.75 cl;
;S4078;73;RIBERA DEL DUERO D.O. ARROCAL;12,5;18,5;RIBERA DEL DUERO D.O. ARROCAL;;2009;Spanien;Ribera del Duero;Tempranillo;Rotwein;;;13,5%;ja;0.75 cl;
;S4079;73;RIBERA DEL DUERO D.O. ACAPPELA CRIANZA;12,5;17,8;RIBERA DEL DUERO D.O. ACAPPELA CRIANZA;;2007;Spanien;Ribera del Duero;Tempranillo;Rotwein;;Grillfleisch;14%;ja;0.75 cl;
;S4080;73;RIBERA DEL DUERO D.O. ACAPPELA ROBLE;10,5;15,9;RIBERA DEL DUERO D.O. ACAPPELA ROBLE;;2008;Spanien;Ribera del Duero;Tempranillo;Rotwein;;Grillfleisch, Rindfleisch;13,5%;ja;0.75 cl;
;S4081;73;MIROS RIBERA DEL DUERO RESERVA D.O.;25,5;35,1;MIROS RIBERA DEL DUERO RESERVA D.O.;;2006;Spanien;Ribera del Duero;Tempranillo;Rotwein;;Grillfleisch, Rotes Fleisch;13,5%;ja;0.75 cl;
;S4082;73;TEMPRANILLO CATALUNYA D.O. MIRET;5,5;9,9;TEMPRANILLO CATALUNYA D.O. MIRET;;2010;Spanien;Catalunya;Tempranillo;Rotwein;;;13%;;0.75 cl;
;S4083;73;RIOJA D.O.Ca. RESERVA FAUSTINO RIVERO ULECIA TINTO;5,5;;RIOJA D.O.Ca. RESERVA FAUSTINO RIVERO ULECIA TINTO;;2008;Spanien;Rioja;Garnacha, Tempranillo;Rotwein;;Braten, Pasta, Rotes Fleisch, Wildfleisch;13%;;0.75 cl;
;S4084;73;RIBERA DEL DUERO D.O. ENTRECASTILLOS;10,5;18,9;RIBERA DEL DUERO D.O. ENTRECASTILLOS;;2007;Spanien;Ribera del Duero;Tempranillo;Rotwein;;Antipasti, kräftigem Käse, Lammfleisch;14,5%;ja;0.75 cl;
;S4085;73;RIOJA D.O.Ca. RESERVA FAUSTINO RIVERO ULECIA CRIANZA;7,5;;RIOJA D.O.Ca. RESERVA FAUSTINO RIVERO ULECIA CRIANZA;;2006;Spanien;Rioja;Garnacha, Tempranillo;Rotwein;;Pasta, Pizza;13%;;0.75 cl;
;S4086;73;SOLAR DE SAEL BIERZO D.O.;10,5;;SOLAR DE SAEL BIERZO D.O.;;2005;Spanien;;Mencia;Rotwein;;Weisses Fleisch;14%;ja;0.75 cl;
;S4087;73;TINTA DE TORO D.O. LIBERALIA CUATRO;15,5;18,9;TINTA DE TORO D.O. LIBERALIA CUATRO;;2006;Spanien;;Tinta de Toro;Rotwein;;kräftigem Käse, Rotes Fleisch;13,6%;ja;0.75 cl;
;S4088;73;TINTA DE TORO D.O. LIBERALIA CERO;15,5;;TINTA DE TORO D.O. LIBERALIA CERO;;2010;Spanien;Toro;Tinta de Toro;Rotwein;;;14%;ja;0.75 cl;
;S4089;73;"TINTA DE TORO PRIMA ""MAGNUM""";30,5;39;"TINTA DE TORO PRIMA ""MAGNUM""";;2009;Spanien;Toro;Tinta de Toro;Rotwein;;Barbeque, Grillfleisch, Rotes Fleisch, Wildfleisch;14%;ja;1.50 l;
;S4090;73;TINTA DE TORO D.O. LIBERALIA CINCO;32,5;49;TINTA DE TORO D.O. LIBERALIA CINCO;;2005;Spanien;;Tinta de Toro;Rotwein;;Braten, kräftigem Käse, Rindfleisch, Rotes Fleisch, Schweinefleisch, Steak;15%;ja;0.75 cl;
;S4091;73;TEMPRANILLO UCLÉS D.O. MESTA FONTANA;5,5;7,9;TEMPRANILLO UCLÉS D.O. MESTA FONTANA;;2011;Spanien;;Tempranillo;Rotwein;;Braten, Grillfleisch, Kalbfleisch, kräftigem Käse, Rotes Fleisch;14%;;0.75 cl;
;S4092;73;TEMPRANILLO UCLÉS D.O. ESENCIA DE FONTANA;12,5;22,6;TEMPRANILLO UCLÉS D.O. ESENCIA DE FONTANA;;2010;Spanien;;Tempranillo;Rotwein;;;14%;ja;0.75 cl;
;S4093;73;TEMPRANILLO UCLÉS D.O. SELECTION MESTA;10,5;14,95;TEMPRANILLO UCLÉS D.O. SELECTION MESTA;;2010;Spanien;;Tempranillo;Rotwein;;Grillfleisch, Lammfleisch, Pasta;14%;ja;0.75 cl;
;S4094;73;RIBERA DEL DUERO D.O. MIROS TINTO ROBLE;7,5;14,2;RIBERA DEL DUERO D.O. MIROS TINTO ROBLE;;2009;Spanien;Ribera del Duero;Cabernet Sauvignon, Merlot, Tempranillo;Rotwein;;Grillfleisch, Pasta, Rotes Fleisch;14%;;0.75 cl;
;S4095;73;HABLA DEL SILENCIO VINO DE LA TIERRA EXTREMADURA;15,5;20;HABLA DEL SILENCIO VINO DE LA TIERRA EXTREMADURA;;2010;Spanien;;Cabernet Sauvignon, Shiraz / Syrah, Tempranillo;Rotwein;;kräftigem Käse, Pasta, Rotes Fleisch, Wildfleisch;14,5%;ja;0.75 cl;
;S4096;73;TEMPRANILLO RIOJA CRIANZA EL COTO DOC;6,5;11,5;TEMPRANILLO RIOJA CRIANZA EL COTO DOC;;2007;Spanien;Rioja;Tempranillo;Rotwein;;Fischgerichte, mildem Käse, Pasta, Risotto & Pilz;13%;;0.50 cl;
;S4097;74;YUNTERO TEMPRANILLO JUNGER ROSÉ;5,5;8,25;YUNTERO TEMPRANILLO JUNGER ROSÉ;;2011;Spanien;La Mancha;Tempranillo;Rosé;;Pasta, Reis, Risotto & Pilz;12,5%;;0.75 cl;
;S4098;76;CAVA BARCINO SECO;7,5;;CAVA BARCINO SECO;;;Spanien;Catalunya;Cava;Schaumwein;;Aperitif;11,5%;;0.75 cl;
;S4099;76;CAVA BARCINO SECO;7,5;;CAVA BARCINO SECO;;;Spanien;Catalunya;Cava;Schaumwein;;Aperitif;11,5%;;0.75 cl;
;S4100;76;CAVA CRISTALINO BRUT;7,5;;CAVA CRISTALINO BRUT;;;Spanien;Catalunya;Cava;Schaumwein;;Aperitif;11,5%;;0.75 cl;
;S4101;76;CAVA CRISTALINO SEMI SECO;7,5;;CAVA CRISTALINO SEMI SECO;;;Spanien;Catalunya;Cava;Schaumwein;;Aperitif;11,5%;;0.75 cl;
;S4102;76;CAVA MIRET BRUT RESERVA;7,5;;CAVA MIRET BRUT RESERVA;;;Spanien;Catalunya;Cava;Schaumwein;;Aperitif;11,5%;;0.75 cl;
;S4103;76;CAVA CRISTALINO ROSÉ BRUT;7,5;12,5;CAVA CRISTALINO ROSÉ BRUT;;;Spanien;Catalunya;Cava;Schaumwein;;Aperitif, Desserts;11,5%;;0.75 cl;
;S4104;76;CAVA BARCINO BRUT;7,5;;CAVA BARCINO BRUT;;;Spanien;Catalunya;Cava;Schaumwein;;Aperitif;11,5%;;0.75 cl;
;S4105;76;CAVA MIRET SEMI SECO RESERVA;7,5;;CAVA MIRET SEMI SECO RESERVA;;;Spanien;Catalunya;Cava;Schaumwein;;Aperitif;11,5%;;0.75 cl;
;IT1001;105;PRIMITIVO DI MANDURIA DOP SANGAETANO CANTINE DUE PALME;12,5;18,6;PRIMITIVO DI MANDURIA DOP SANGAETANO CANTINE DUE PALME;;2011;Italien;Apulien;Primitivo di Manduria;Rotwein;;Braten, Kalbfleisch, kräftigem Käse, Rindfleisch, Rotes Fleisch, Steak, Wildfleisch;13,5%;ja;0.75 cl;
;IT1002;105;SALICE SALENTINO DOP MONTECOCO CANTINE DUE PALME - GAMBERO ROSSO : 2 GLÄSER;10,5;18,5;SALICE SALENTINO DOP MONTECOCO CANTINE DUE PALME - GAMBERO ROSSO : 2 GLÄSER;;2010;Italien;Apulien;Malvasia, Negroamaro;Rotwein;;Braten, Klabfleisch, Rindfleisch, Rotes Fleisch, Steak;12,5%;ja;0.75 cl;
;IT1003;105;SALICE SALENTINO RISERVA DOP SELVAROSSA CANTINE DUE PALME - GAMBERO ROSSO : 3 GLÄSER;20,5;25,9;SALICE SALENTINO RISERVA DOP SELVAROSSA CANTINE DUE PALME - GAMBERO ROSSO : 3 GLÄSER;;2008;Italien;Apulien;Malvasia, Negroamaro;Rotwein;;Braten, Kalbfleisch, Rindfleisch, Rotes Fleisch, Wildfleisch;14%;ja;0.75 cl;
;IT1004;105;PRIMITIVO SALENTO IGP ETTAMIANO CANTINE DUE PALME;15,5;19,9;PRIMITIVO SALENTO IGP ETTAMIANO CANTINE DUE PALME;;2009;Italien;Apulien;Primitivo;Rotwein;;Braten, Kalbfleisch, Rindfleisch, Rotes Fleisch, Wildfleisch;13,5%;ja;0.75 cl;
;IT1005;105;SUSUMANIELLO SALENTO IGP SERRE CANTINE DUE PALME - GAMBERO ROSSO : 2 GLÄSER;15,5;19,2;SUSUMANIELLO SALENTO IGP SERRE CANTINE DUE PALME - GAMBERO ROSSO : 2 GLÄSER;;2010;Italien;Apulien;;Rotwein;;Braten, Kalbfleisch, Rindfleisch, Rotes Fleisch, Wildfleisch;13,5%;ja;0.75 cl;
;IT1006;108;PROSECCO IL SPRIZ;8,5;12,9;PROSECCO IL SPRIZ;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;8%;ja;0.75 cl;
;IT1007;105;PRIMITIVO TARANTINO IGT DOPPIO PASSO;5,5;9,9;PRIMITIVO TARANTINO IGT DOPPIO PASSO;;2010;Italien;Apulien;Primitivo;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Pasta, Risotto & Pilz, Suppen, Vegetarisches;13%;;0.75 cl;
;IT1008;105;PRIMITIVO DI MANDURIA DOC SINCE 1974;18,5;30,85;PRIMITIVO DI MANDURIA DOC SINCE 1974;;2009;Italien;Apulien;Primitivo di Manduria;Rotwein;;Braten, Kalbfleisch, Lammfleisch, Risotto & Pilz, Rotes Fleisch;14,5%;ja;0.75 cl;
;IT1009;105;PRIMITIVO SALENTO IGT ULTIMO PASSO;7,5;11,95;PRIMITIVO SALENTO IGT ULTIMO PASSO;;2011;Italien;Apulien;Primitivo, Salento;Rotwein;;Pasta, Pizza, Risotto & Pilz, Rotes Fleisch;13;;0.75 cl;
;IT1010;105;MERLOT CABERNET SAUVIGNON DONNAFUGATA ANGHELI ROSSO SICILIA;20,5;24,5;MERLOT CABERNET SAUVIGNON DONNAFUGATA ANGHELI ROSSO SICILIA;;2008;Italien;Sizilien;Cabernet Sauvignon, Merlot;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Wildfleisch;13%;ja;0.75 cl;
;IT1011;105;NERO D'AVOLA DONNAFUGATA SHERAZADE SICILIA;12,5;15,8;NERO D'AVOLA DONNAFUGATA SHERAZADE SICILIA;;2010;Italien;Sizilien;Cabernet Sauvignon, Merlot;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Wildfleisch;13%;ja;0.75 cl;
;IT1012;107;MERLOT BIANCO VENETO IGT SENTINA;5,5;10,5;MERLOT BIANCO VENETO IGT SENTINA;;2011;Italien;Venetien;Merlot;Weisswein;;Antipasti, Aperitif, Desserts, Fischgerichte, Geflügel, Grillfleisch, Pasta, Reis, Weisses Fleisch;12%;;0.75 cl;
;IT1013;107;ZIBIBBO DONNAFUGATA LIGHEA BIANCO SICILIA;15,5;19,5;ZIBIBBO DONNAFUGATA LIGHEA BIANCO SICILIA;;2011;Italien;Sizilien;Zibibbo;Weisswein;;Aperitif, Fischgerichte, Gemüse, Pasta;12,5%;ja;0.75 cl;
;IT1014;107;CATARRATTO ANSONICA DONNAFUGATA ANTHILIA BIANCO SICILIA;10,5;13,4;CATARRATTO ANSONICA DONNAFUGATA ANTHILIA BIANCO SICILIA;;2011;Italien;Sizilien;Ansonica, Catarratto;Weisswein;;Fischgerichte, Gemüse, Pasta;12,5%;ja;0.75 cl;
;IT1015;108;9.5 COLDWINE BRUT ASTORIA;10,5;;9.5 COLDWINE BRUT ASTORIA;;;Italien;Venetien;Chardonnay, Prosecco;Schaumwein;;Aperitif;9,5%;ja;0.75 cl;
;IT1016;108;PROSECCO DI VALDOBBIADENE EXTRA DRY MILLESIMATO;12,2;15,5;PROSECCO DI VALDOBBIADENE EXTRA DRY MILLESIMATO;;;Italien;Valdobbiadene;Prosecco;Schaumwein;;Aperitif;11,5%;ja;0.75 cl;
;IT1017;108;PROSECCO DI VALDOBBIADENE SUPERIORE DOCG MILLESIMATO BRUT;15,5;22,6;PROSECCO DI VALDOBBIADENE SUPERIORE DOCG MILLESIMATO BRUT;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;10,5%;ja;0.75 cl;
;IT1018;108;VINO SPUMANTE EXTRA DRY MOTIVO ROSE BORGO MOLINO;12,5;17,95;VINO SPUMANTE EXTRA DRY MOTIVO ROSE BORGO MOLINO;;;Italien;Venetien;Glera, Pinot Noir, Raboso;Schaumwein;;Aperitif;11%;ja;0.75 cl;
;IT1020;108;"VINO SPUMANTE CUVÉE ""THIS"" EXTRA DRY BORGO MOLINO";10,5;13,6;"VINO SPUMANTE CUVÉE ""THIS"" EXTRA DRY BORGO MOLINO";;;Italien;Venetien;Glera;Schaumwein;;Aperitif, Fischgerichte;11,5%;ja ;0.75 cl;
;IT1021;108;PROSECCO VALDOBBIADENE MILLESIMATO 09 DRY DOCG BORGO MOLINO;15,5;22,6;PROSECCO VALDOBBIADENE MILLESIMATO 09 DRY DOCG BORGO MOLINO;;2011;Italien;Venetien;Glera;Schaumwein;;Aperitif;11,5%;ja;0.75 cl;
;IT1022;108;VINO SPUMANTE MOSCATO BORGO MOLINO;10,5;14,9;VINO SPUMANTE MOSCATO BORGO MOLINO;;;Italien;Venetien;Moscato Bianco;Schaumwein;;Aperitif, Desserts;8,5%;ja;0.75 cl;
;IT1023;108;VINO SPUMANTE MILLESIMATO EXTRA DRY BORGO MOLINO;12,5;17,95;VINO SPUMANTE MILLESIMATO EXTRA DRY BORGO MOLINO;;;Italien;Venetien;Glera;Schaumwein;;Aperitif, Desserts;11%;ja;0.75 cl;
;IT1023;108;PROSECCO VALDOBBIADENE MILLESIMATO 09 BRUT DOCG BORGO MOLINO;12,5;18,9;PROSECCO VALDOBBIADENE MILLESIMATO 09 BRUT DOCG BORGO MOLINO;;2011;Italien;Venetien;Glera;Schaumwein;;Aperitif, Fischgerichte;11,5%;ja;0.75 cl;
;IT1024;108;PROSECCO VALDOBBIADENE SUPERIORE DOCG MILLESIMATO EXTRA DRY BORGO MOLINO;15,5;22,6;PROSECCO VALDOBBIADENE SUPERIORE DOCG MILLESIMATO EXTRA DRY BORGO MOLINO;;;Italien;Venetien;Glera;Schaumwein;;Aperitif, Desserts, Fischgerichte;11,5%;ja;0.75 cl;
;IT1025;108;9.5 COLDWINE Rosé ASTORIA;10,5;;9.5 COLDWINE Rosé ASTORIA;;;Italien;Venetien;Chardonnay, Prosecco;Schaumwein;;Aperitif;9,5%;ja;0.75 cl;
;IT1026;105;AGLIANICO BENEVENTANO IGT CALDIROLA;5,5;;AGLIANICO BENEVENTANO IGT CALDIROLA;;;Italien;Kampagnien;Aglianico;Rotwein;;kräftigem Käse, mildem Käse, rotes Fleisch, Suppen;12,5%;;0.75 cl;
;IT1027;107;BIANCO SALENTO COLOMBELLA IGT Lieblich;5,5;;BIANCO SALENTO COLOMBELLA IGT Lieblich;;2010;Italien;Apulien;Trebbiano;Weisswein;;Antipasti, Aperitif, kräftigem Käse;13%;;0.75 cl;
;IT1028;105;ROSSO SALENTO COLOMBELLA IGT Lieblich;5,5;;ROSSO SALENTO COLOMBELLA IGT Lieblich;;2011;Italien;Apulien;Montepulciano, Uva di Troia;Rotwein;;kräftigem Käse, Rotes Fleisch, Vorspeise & Salat;13%;;0.75 cl;
;IT1029;106;ROSATO SALENTO COLOMBELLA IGT Lieblich;5,5;;ROSATO SALENTO COLOMBELLA IGT Lieblich;;2011;Italien;Apulien;Montepulciano, Sangiovese;Rosé;;kräftigem Käse, Vorspeise & Salat;13%;;0.75 cl;
;IT1030;105;PRIMITIVO DI MANDURIA DOC CONTE DI LUCCA;7,5;;PRIMITIVO DI MANDURIA DOC CONTE DI LUCCA;;2010;Italien;Apulien;Primitivo;Rotwein;;Barbeque, kräftigem Käse, Wildfleisch;14%;;0.75 cl;
;IT1031;105;NERO D´AVOLA SICILIA IGT SAN COLOMBANO;7,5;;NERO D´AVOLA SICILIA IGT SAN COLOMBANO;;2009;Italien;Sizilien;Nero d'Avola;Rotwein;;Kalbfleisch, Risotto & Pilz, Steak;14%;;0.75 cl;
;IT1041;107;INZOLIA SICILIA IGT SAN COLOMBANO;5,5;;INZOLIA SICILIA IGT SAN COLOMBANO;;2010;Italien;Sizilien;Inzolia;Weisswein;;Meeresfrüchte, Vorspeise & Salat;12,5%;;0.75 cl;
;IT1042;105;NERO D‘AVOLA MERLOT IGT DUCA MATTEO PRIMO;5,5;;NERO D‘AVOLA MERLOT IGT DUCA MATTEO PRIMO;;2011;Italien;Sizilien;Merlot, Nero d'Avola;Rotwein;;kräftigem Käse, Pasta, Rotes Fleisch;14,5%;;0.75 cl;
;IT1043;107;CATARRATO CHARDONNAY IGT DUCA MATTEO PRIMO;5,5;;CATARRATO CHARDONNAY IGT DUCA MATTEO PRIMO;;2009;Italien;Sizilien;Catarratto, Chardonnay;Weisswein;;Aperitif, Fischgerichte, Vorspeise & Salat;13%;;0.75 cl;
;IT1044;105;MERLOT IGT VILLA MARIN;7,5;;MERLOT IGT VILLA MARIN;;2007;Italien;Venetien;Merlot;Rotwein;;Grillfleisch, Rotes Fleisch, Wildfleisch;12,5%;;0.75 cl;
;IT1045;107;CHARDONNAY VENETO IGT VILLA MARIN;7,5;;CHARDONNAY VENETO IGT VILLA MARIN;;2011;Italien;Venetien;Chardonnay;Weisswein;;Aperitif, Fischgerichte, Reis;;;0.75 cl;
;IT1046;107;CHARDONNAY VENETO IGT VILLA MARIN;7,5;;CHARDONNAY VENETO IGT VILLA MARIN;;2011;Italien;Venetien;Chardonnay;Weisswein;;Aperitif, Fischgerichte, Reis;;;0.75 cl;
;IT1047;107;PINOT GRIGIO IGT VILLA MARIN;7,5;;PINOT GRIGIO IGT VILLA MARIN;;2011;Italien;Venetien;Pinot Grigio;Weisswein;;Aperitif, Suppen, Weisses Fleisch;12%;;0.75 cl;
;IT1048;105;MONTEPULCIANO D‘ABRUZZO DOC MONTECELLI;5,5;;MONTEPULCIANO D‘ABRUZZO DOC MONTECELLI;;2009;Italien;Abruzzen;Montepulciano;Rotwein;;Braten, Grillfleisch, Kalbfleisch, Lammfleisch, Pasta, Rindfleisch, Vorspeise & Salat, Weisses Fleisch, Wildfleisch;13%;;0.75 cl;
;IT1049;105;SANGIOVESE RUBICONE IGT MONTECELLI;5,5;;SANGIOVESE RUBICONE IGT MONTECELLI;;2009;Italien;Emilia Romagna;Sangiovese;Rotwein;;mildem Käse, Pasta, Rotes Fleisch;13%;;0.75 cl;
;IT1050;107;MALVASIA BIANCA IGT FEUDO CUREZZA DUNE;7,5;;MALVASIA BIANCA IGT FEUDO CUREZZA DUNE;;2010;Italien;Apulien;Malvasia Bianca;Weisswein;;Fischgerichte, Meeresfrüchte, Vegetarisches, Vorspeise & Salat;13%;;0.75 cl;
;IT1051;105;SALICE SALENTINO DOC FEUDO CUREZZA DUNE;7,5;;SALICE SALENTINO DOC FEUDO CUREZZA DUNE;;2008;Italien;Apulien;Negroamaro;Rotwein;;Braten, Grillfleisch, Lammfleisch, Rindfleisch;13,5%;;0.75 cl;
;IT1052;105;BARBERA D‘ALBA „LA MOROSA“ DOC PIER PAOLO GRASSO;10,5;;BARBERA D‘ALBA „LA MOROSA“ DOC PIER PAOLO GRASSO;;2008;Italien;Piemont;Barbera;Rotwein;;Kalbfleisch, kräftigem Käse, Rindfleisch, Rotes Fleisch;13%;ja;0.75 cl;
;IT1053;105;PRIMITIVO DI MANDURIA DOC FEUDO CUREZZA DUNE;10,5;;PRIMITIVO DI MANDURIA DOC FEUDO CUREZZA DUNE;;2008;Italien;Apulien;Primitivo di Manduria;Rotwein;;;14%;ja;0.75 cl;
;IT1054;105;BAROLO „BARBIS“ DOCG PIER PAOLO GRASSO;20,5;25,5;BAROLO „BARBIS“ DOCG PIER PAOLO GRASSO;;2006;Italien;Piemont;Barolo, Nebbiolo;Rotwein;;Lammfleisch, Vorspeise & Salat, Wildfleisch;14%;ja;0.75 cl;
;IT1055;105;BARBARESCO „RIO VILA“ DOCG PIER PAOLO GRASSO;12,5;;BARBARESCO „RIO VILA“ DOCG PIER PAOLO GRASSO;;2007;Italien;Piemont;Nebbiolo;Rotwein;;Geflügel, Grillfleisch, kräftigem Käse, Rotes Fleisch;13,5%;ja;0.75 cl;
;IT1056;105;BARBERA D‘ALBA SUPERIORE „PAJUN“ DOC PIER PAOLO GRASSO;12,5;;BARBERA D‘ALBA SUPERIORE „PAJUN“ DOC PIER PAOLO GRASSO;;2007;Italien;Piemont;Barbera;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Rotes Fleisch, Steak;14%;ja;0.75 cl;
;IT1057;105;LANGHE NEBBIOLO „RIVA“ DOC PIER PAOLO GRASSO;10,5;;LANGHE NEBBIOLO „RIVA“ DOC PIER PAOLO GRASSO;;2007;Italien;Piemont;Nebbiolo;Rotwein;;Kalbfleisch, mildem Käse, Rindfleisch;13%;ja;0.75 cl;
;IT1058;105;LANGHE ROSSO „ASNAS“ DOC PIER PAOLO GRASSO;10,5;;LANGHE ROSSO „ASNAS“ DOC PIER PAOLO GRASSO;;2008;Italien;Piemont;Barbera, Nebbiolo, Petit Verdot;Rotwein;;;13,5%;ja;0.75 cl;
;IT1059;105;BARBARESCO RISERVA „RIO SORDO“ DOCG PIER PAOLO GRASSO;18,5;24,5;BARBARESCO RISERVA „RIO SORDO“ DOCG PIER PAOLO GRASSO;;2006;Italien;Piemont;Nebbiolo;Rotwein;;Kalbfleisch, kräftigem Käse, Rindfleisch, Steak;14%;ja;0.75 cl;
;IT1060;107;LANGHE ARNEIS „MOROSO“ DOC, PIER PAOLO GRASSO;10,5;;LANGHE ARNEIS „MOROSO“ DOC, PIER PAOLO GRASSO;;2010;Italien;Piemont;Arneis;Weisswein;;Aperitif, Fischgerichte, Geflügel, Vegetarisches, Vorspeise & Salat, Weisses Fleisch;13%;ja;0.75 cl;
;IT1061;105;VALPOLICELLA SUPERIORE RIPASSO DOC I TERRIERI;15,5;;VALPOLICELLA SUPERIORE RIPASSO DOC I TERRIERI;;2007;Italien;Venetien;Corvina, Molinara, Rondinella, Valpolicella;Rotwein;;Risotto & Pilz, Steak, Wildfleisch;14%;ja;0.75 cl;
;IT1062;105;MERLOT DELLE VENEZIE IGT I TERRIERI;12,5;;MERLOT DELLE VENEZIE IGT I TERRIERI;;2009;Italien;Venetien;Cabernet Frac, Merlot;Rotwein;;Pasta, Pizza, Risotto & Pilz, Rotes Fleisch;14%;ja;0.75 cl;
;IT1063;105;CORVINA VERONESE IGT I TERRIERI;12,5;;CORVINA VERONESE IGT I TERRIERI;;2010;Italien;Venetien;Corvina;Rotwein;;Antipasti, kräftigem Käse, mildem Käse, Risotto & Pilz;14%;ja;0.75 cl;
;IT1064;105;NERO D'AVOLA SYRAH IGT LA CASADA;5,5;;NERO D'AVOLA SYRAH IGT LA CASADA;;2010;Italien;Sizilien;Nero d'Avola, Shiraz / Syrah;Rotwein;;Braten, kräftigem Käse, Rotes Fleisch;14%;;0.75 cl;
;IT1065;107;GRILLO IGT ANTONINI CERESA;5,5;;GRILLO IGT ANTONINI CERESA;;2010;Italien;Sizilien;Grillo;Weisswein;;Aperitif, Fischgerichte, Vegetarisches, Vorspeise & Salat;12%;;0.75 cl;
;IT1066;107;PINOT GRIGIO IGT ANTONINI CERESA;5,5;;PINOT GRIGIO IGT ANTONINI CERESA;;2010;Italien;;Pinot Grigio;Weisswein;;Fischgerichte, Reis, Vegetarisches, Vorspeise & Salat, Weisses Fleisch;12%;;0.75 cl;
;IT1067;105;PRIMITIVO IGT ANTONINI CERESA;5,5;;PRIMITIVO IGT ANTONINI CERESA;;2010;Italien;Apulien;Primitivo;Rotwein;;kräftigem Käse, mildem Käse, Rotes Fleisch, Steak, Wildfleisch;12,5%;;0.75 cl;
;IT1068;105;NERO D‘AVOLA IGT ANTONINI CERESA;5,5;;NERO D‘AVOLA IGT ANTONINI CERESA;;2010;Italien;;Aglianico;Rotwein;;Braten, Geflügel, Grillfleisch, Kalbfleisch, Rindfleisch, Rotes Fleisch, Steak, Wildfleisch;12,5%;;0.75 cl;
