ID;Art. Nr.;Serie;Artikel;Unsere Preis;Original Preis;Kurzbeschreibung;Beschreibung;Jahrgang;Herkunft;Region;Traubensorte;Farbe;Trinktemperatur;Past gut zu;Alkohol;Raritäten;Inhalt;Charakter
;IT1102;107;I PAPIRI VERMENTINO DI SARDEGNA DOC SANTA MARIA LA PALMA;7,5;12,5;I PAPIRI VERMENTINO DI SARDEGNA DOC SANTA MARIA LA PALMA;;2008;Italien;Sardinien;Vermentino;Weisswein;;Fischgerichte, Meeresfrüchte, Vegetarisches;13%;;0.75 cl;
;IT1103;105;CAGNULARI ALGHERO DOC SANTA MARIA LA PALMA;10,5;15,5;CAGNULARI ALGHERO DOC SANTA MARIA LA PALMA;;2007;Italien;Sardinien;Carignan;Rotwein;;Barbeque, Grillfleisch, kräftigem Käse, mildem Käse, Risotto & Pilz;13%;ja;0.75 cl;
;IT1104;105;ARAGOSTA VERMENTINO DI SARDEGNA DOC SANTA MARIA LA PALMA;7,5;;ARAGOSTA VERMENTINO DI SARDEGNA DOC SANTA MARIA LA PALMA;;2008;Italien;Sardinien;Vermentino;Weisswein;;Fischgerichte, Meeresfrüchte;12%;;0.75 cl;
;IT1105;105;CANNONAU DI SARDEGNA RISERVA DOC SANTA MARIA LA PALMA;10,5;15,5;CANNONAU DI SARDEGNA RISERVA DOC SANTA MARIA LA PALMA;;2003;Italien;Sardinien;Cannonau;Rotwein;;Barbeque, Grillfleisch, Kalbfleisch, kräftigem Käse, Lammfleisch, Rotes Fleisch, Steak, Wildfleisch;13,5%;ja;0.75 cl;
;IT1106;105;BIFERNO RISERVA CONTE DI LUCCA DOC;7,5;;BIFERNO RISERVA CONTE DI LUCCA DOC;;2006;Italien;;Aglianico;Rotwein;;Braten, Geflügel, Kalbfleisch, Rotes Fleisch, Weisses Fleisch, Wildfleisch;13%;;0.75 cl;
;IT1107;105;AMARONE DELLA VALPOLICELLA DOC CLASSICO CA COATO;35,5;55;AMARONE DELLA VALPOLICELLA DOC CLASSICO CA COATO;;2007;Italien;Venetien;Corvina, Molinara, Rondinella;Rotwein;;Kalbfleisch, Lammfleisch, Steak, Wildfleisch;17%;ja;0.75 cl;
;IT1108;105;AMARONE DELLA VALPOLICELLA DOC CLASSICO DINNAY;35,5;53,9;AMARONE DELLA VALPOLICELLA DOC CLASSICO DINNAY;;2008;Italien;Venetien;Corvina, Molinara, Rondinella;Rotwein;;kräftigem Käse, Rotes Fleisch, Wildfleisch;15,5%;ja;0.75 cl;
;IT1109;105;AMARONE DELLA VALPOLICELLA DOC CLASSICO LA CASONA;22,5;;AMARONE DELLA VALPOLICELLA DOC CLASSICO LA CASONA;;2008;Italien;Venetien;Corvina, Molinara, Rondinella;Rotwein;;Grillfleisch, Kalbfleisch, Rotes Fleisch, Steak, Wildfleisch;15%;ja;0.75 cl;
;IT1110;105;AMARONE DELLA VALPOLICELLA DOC CLASSICO SARTORI RINO;24,5;28,5;AMARONE DELLA VALPOLICELLA DOC CLASSICO SARTORI RINO;;2008;Italien;Venetien;Rotes Fleisch, Steak, Wildfleisch;;;Rotes Fleisch, Steak, Wildfleisch;15%;ja;0.75 cl;
;IT1111;105;BARBERA D'ASTI PIEMONT DOCG SUPERIORE MILIASO;7,5;;BARBERA D'ASTI PIEMONT DOCG SUPERIORE MILIASO;;2008;Italien;Piemont;Barbera;Rotwein;;Antipasti, Pasta, Pizza, Rotes Fleisch;13,5%;;0.75 cl;
